Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2020,1000,General Fund,General Funds,6800,Houston Information Tech Svcs,Administrative Services,511110,Fuel,Supplies,Expenditures,0,21614,0
2020,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,511110,Fuel,Supplies,Expenditures,0,196,0
2020,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,551015,Non-Capital Computer Equipment,Non-Capital Equipment,Expenditures,0,16000,0
2020,1003,In-House Renovation,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,504020,Compensation Contingency,Personnel Services,Expenditures,0,19330,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511060,Postage,Supplies,Expenditures,0,20,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,560210,Cap Exp - Furniture Fixtures and Equipment,Equipment,Expenditures,0,10050,0
2020,2105,M.R.R Fund,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,511010,"Chemical, Gases & Special Fluids",Supplies,Expenditures,0,50000,0
2020,2105,M.R.R Fund,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,511020,Construction Materials,Supplies,Expenditures,0,52100,0
2020,2202,AssetForfeitureTreas,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,434510,Prior Year Revenue,Miscellaneous/Other,Revenues,0,0,0
2020,2202,AssetForfeitureTreas,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,551020,Non-Capital Communication Equipment,Non-Capital Equipment,Expenditures,0,5000,0
2020,2302,Stormwater Fund,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560230,Cap Exp - Computer HW and Developed SW,Equipment,Expenditures,0,450000,0
2020,2428,State Cable TV,Special Revenue Funds,5000,Mayor's Office,Administrative Services,511025,Electrical Hardware,Supplies,Expenditures,0,1500,0
2020,2428,State Cable TV,Special Revenue Funds,5000,Mayor's Office,Administrative Services,511030,Mechanical Hardware,Supplies,Expenditures,0,500,0
2020,8700,ParkHouston SRF,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,511010,"Chemical, Gases & Special Fluids",Supplies,Expenditures,0,2585,0
2020,8700,ParkHouston SRF,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,551015,Non-Capital Computer Equipment,Non-Capital Equipment,Expenditures,0,125000,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520122,Office Equipment Services,Other Services and Charges,Expenditures,0,338,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520132,Contracts/Sponsorships,Other Services and Charges,Expenditures,0,566,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520139,Motor Pool Charges,Other Services and Charges,Expenditures,0,427,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,36,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,521405,Building Maintenance Services,Other Services and Charges,Expenditures,0,20051,0
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,0,2986,0
2020,2105,M.R.R Fund,Special Revenue Funds,2500,General Services Department,Development & Maintenance Services,520250,CIP Expense,Other Services and Charges,Expenditures,0,0,0
2020,2202,AssetForfeitureTreas,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,520124,Other Equipment Services,Other Services and Charges,Expenditures,0,100000,0
2020,2302,Stormwater Fund,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520900,CIP-Cap Equip Acq.,Other Services and Charges,Expenditures,0,286200,0
2020,2429,Tourism Promotion SRF,Special Revenue Funds,5000,Mayor's Office,Administrative Services,520132,Contracts/Sponsorships,Other Services and Charges,Expenditures,0,34000,0
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,522795,Other Interfund Services,Other Services and Charges,Expenditures,0,280000,0
2020,8700,ParkHouston SRF,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520141,Engineering Services,Other Services and Charges,Expenditures,0,48000,0
2020,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,0,20000,0
2020,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522845,Interfund Vehicle Services,Other Services and Charges,Expenditures,0,5341,0
2020,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520105,Accounting & Auditing Services,Other Services and Charges,Expenditures,0,29300,0
2020,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520111,Real Estate Services,Other Services and Charges,Expenditures,0,10000,0
2020,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520126,Construction Site Work Services,Other Services and Charges,Expenditures,0,4600,0
2020,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520141,Engineering Services,Other Services and Charges,Expenditures,0,18814,0
2020,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,1500,0
2020,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520157,Computer Software Maintenance Services,Other Services and Charges,Expenditures,0,0,0
2020,1000,General Fund,General Funds,6800,Houston Information Tech Svcs,Administrative Services,522845,Interfund Vehicle Services,Other Services and Charges,Expenditures,0,36979,0
2020,1000,General Fund,General Funds,7500,City Secretary,Administrative Services,520111,Real Estate Services,Other Services and Charges,Expenditures,0,10493,0
2020,1000,General Fund,General Funds,8000,Human Resources Dept.,Administrative Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,2008,0
2020,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,520107,Computer Info/Contr,Other Services and Charges,Expenditures,0,10000,0
2020,1000,General Fund,General Funds,7000,Planning & Development,Development & Maintenance Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,1222,1229
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511055,Publications & Printed Materials,Supplies,Expenditures,0,180,75
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,511090,Medical & Surgical Supplies,Supplies,Expenditures,0,7414,582
2020,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,522720,Interfund Payroll Services,Other Services and Charges,Expenditures,0,6054,-857
2020,2205,HoustonEmergencyCtr,Special Revenue Funds,1500,Houston Emergency Center (HEC),Public Safety,424060,Interfund Airport Police Services,Direct Interfund Services,Revenues,0,190000,186400
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,428080,Returned Check Charges,Other Fines and Forfeits,Revenues,0,0,96
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434205,Sale of Scrap Metal,Miscellaneous/Other,Revenues,0,0,804
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434225,Sale of Non-Capital Equip. & Merchandise,Miscellaneous/Other,Revenues,0,0,3408
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434240,Sale of Capital Assets-Land/Streets,Other Resources,Revenues,0,0,32218
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,434245,Sale of Capital Assets - Vehicles,Other Resources,Revenues,0,0,18684
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,96000
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,22032
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,501030,Earned Leave - Civilian,Personnel Services,Expenditures,0,0,683463
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,511085,Drugs & Medical Chemicals,Supplies,Expenditures,0,0,473
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,520715,Arbitrage Expenses,Debt Service and Other Uses,Expenditures,0,0,109028
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,531085,Other Interest,Debt Service and Other Uses,Expenditures,0,0,3470
2020,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,551025,Non-Capital Scientific/Medical Equipment,Non-Capital Equipment,Expenditures,0,0,88
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,426330,Miscellaneous Copies Fees,Charges for Services,Revenues,0,0,8
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,434505,Prior Year Expenditure Recovery,Miscellaneous/Other,Revenues,0,0,604755
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,723616
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,500060,Overtime - Civilian,Personnel Services,Expenditures,0,0,8248
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,20376
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,511020,Construction Materials,Supplies,Expenditures,0,0,220
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,511090,Medical & Surgical Supplies,Supplies,Expenditures,0,0,10835
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,511120,Clothing,Supplies,Expenditures,0,0,390
2020,9000,Health Benefits Fund,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,551020,Non-Capital Communication Equipment,Non-Capital Equipment,Expenditures,0,0,288
2020,9001,Long Term Disablity,Internal Services Funds,8000,Human Resources Dept.,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,2450
2020,1001,Project Cost Recovry,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,452020,Recoveries & Refunds,Miscellaneous/Other,Revenues,0,0,370458
2020,1001,Project Cost Recovry,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,4762
2020,1001,Project Cost Recovry,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,503050,Health/Life Insurance - Retiree Civilian,Personnel Services,Expenditures,0,0,37242
2020,1003,In-House Renovation,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,2070
2020,1003,In-House Renovation,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,511060,Postage,Supplies,Expenditures,0,0,17
2020,1003,In-House Renovation,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,511115,Vehicle Repair & Maintenance Supplies,Supplies,Expenditures,0,0,5164
2020,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,501120,Termination Pay - Civilian,Personnel Services,Expenditures,0,0,20926
2020,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,452030,Miscellaneous Revenue,Miscellaneous/Other,Revenues,0,0,5597
2020,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,500060,Overtime - Civilian,Personnel Services,Expenditures,0,0,464
