Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2021,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,490120,Transfer from Component Unit,Miscellaneous/Other,Revenues,0,366461,0
2021,1000,General Fund,General Funds,9900,Citywide General Government,General Government,490120,Transfer from Component Unit,Miscellaneous/Other,Revenues,0,242000,0
2021,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,457040,Interfund Fleet Maintenance,Direct Interfund Services,Revenues,0,25358936,0
2021,2105,M.R.R Fund,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,511010,"Chemical, Gases & Special Fluids",Supplies,Expenditures,0,50000,0
2021,2202,AssetForfeitureTreas,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,551020,Non-Capital Communication Equipment,Non-Capital Equipment,Expenditures,0,5000,0
2021,2301,Building Inspection,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560120,Capital Exp-Building & Bldg Improvement,Equipment,Expenditures,0,2800000,0
2021,2302,Stormwater Fund,Special Revenue Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,560230,Cap Exp - Computer HW and Developed SW,Equipment,Expenditures,0,450000,0
2021,2429,Tourism Promotion SRF,Special Revenue Funds,5000,Mayor's Office,Administrative Services,490120,Transfer from Component Unit,Miscellaneous/Other,Revenues,0,12981275,0
2021,8001,HAS-Revenue,Enterprise Funds,2800,Houston Airport System (HAS),Enterprise Funds,532115,System Operating Reserve,Debt Service and Other Uses,Expenditures,0,1000000,0
2021,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520115,Real Estate Lease/Office Rental,Other Services and Charges,Expenditures,0,150000,0
2021,2100,Park Special Rev.,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,520115,Real Estate Lease/Office Rental,Other Services and Charges,Expenditures,0,17000,0
2021,2100,Park Special Rev.,Special Revenue Funds,3600,Parks & Recreation,Human & Cultural Services,522730,Interfund Engineering Services,Other Services and Charges,Expenditures,0,5000,0
2021,2202,AssetForfeitureTreas,Special Revenue Funds,1000,Houston Police Department-HPD,Public Safety,520120,Communications Equipment Services,Other Services and Charges,Expenditures,0,200000,0
2021,2424,Contractor Respon Fd,Special Revenue Funds,5100,Business Opportunity,Administrative Services,521625,Voice Labor,Other Services and Charges,Expenditures,0,500,0
2021,2427,BARC Special Revenue,Special Revenue Funds,6500,Admn. & Regulatory Affairs,Administrative Services,522795,Other Interfund Services,Other Services and Charges,Expenditures,0,373376,0
2021,2428,State Cable TV,Special Revenue Funds,5000,Mayor's Office,Administrative Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,0,9000,0
2021,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-10503239,0
2021,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-8035625,0
2021,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,522205,Metro Commuter Passes,Other Services and Charges,Expenditures,0,4000,0
2021,1000,General Fund,General Funds,3400,Library,Human & Cultural Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-519698,0
2021,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-2516271,0
2021,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-1689794,0
2021,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520110,Management Consulting Services,Other Services and Charges,Expenditures,0,5000,0
2021,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520147,Management Initiative Savings,Other Services and Charges,Expenditures,0,-18391,0
