Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
2022,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520705,Insurance Fees,Other Services and Charges,Expenditures,0,1290615,0
2022,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,522728,Interfund - Wireless Services Exp,Other Services and Charges,Expenditures,0,2878000,0
2022,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,520515,Print Shop Services,Other Services and Charges,Expenditures,0,50108,0
2022,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,8490,0
2022,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,0,9984,0
2022,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,0,7200,0
2022,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,522795,Other Interfund Services,Other Services and Charges,Expenditures,0,638810,0
2022,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520705,Insurance Fees,Other Services and Charges,Expenditures,0,1040904,0
2022,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,520515,Print Shop Services,Other Services and Charges,Expenditures,0,1500,0
2022,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,520705,Insurance Fees,Other Services and Charges,Expenditures,0,94569,0
2022,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,521730,Parking Space Rental,Other Services and Charges,Expenditures,0,80000,0
2022,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,0,600,0
2022,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,0,1000,0
2022,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522205,Metro Commuter Passes,Other Services and Charges,Expenditures,0,2100,0
2022,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,520515,Print Shop Services,Other Services and Charges,Expenditures,0,34250,0
2022,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,272678,0
2022,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,0,16000,0
2022,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,0,158400,0
2022,1000,General Fund,General Funds,3400,Library,Human & Cultural Services,520705,Insurance Fees,Other Services and Charges,Expenditures,0,818938,0
2022,1000,General Fund,General Funds,3400,Library,Human & Cultural Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,0,6299,0
